,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
1134,Is 237,"1,363",16.6,84.5%,25
1135,John Bowne High School,"3,608",18.6,75.6%,25
1136,Ps 20 John Bowne,"1,311",15.4,93.4%,25
1137,Ps 21 Edward Hart,"1,422",16.1,78.2%,25
1138,Ps 22 Thomas Jefferson,920,13.7,91.1%,25
1139,Ps 24 Andrew Jackson,999,15.6,70%,25
1140,Ps 29,737,15.0,87.4%,25
1141,Ps 32 State Street,983,15.8,67.8%,25
1142,Ps 79 Francis Lewis,"1,133",18.8,53.1%,25
1143,Ps 107 Thomas A Dooley,972,14.2,76.5%,25
1144,Ps 120,"1,033",16.1,74.8%,25
1145,Ps 129 Patricia Larkin,"1,094",14.7,77.8%,25
1146,Ps 154,674,14.0,82%,25
1147,Ps 163 Flushing Heights,800,14.5,80.8%,25
1148,Ps 164 Queens Valley,690,12.5,73.5%,25
1149,Ps 165 Edith K Bergtraum,764,8.5,72.9%,25
1150,Ps 169 Bay Terrace,444,13.0,33.6%,25
1151,Ps 184 Flushing Manor,513,14.6,46.6%,25
1152,Junior High School 185 Edward Bleeker,"1,523",16.2,77%,25
1153,Junior High School 189 Daniel Carter Beard,774,15.4,77.5%,25
1154,Ps 193 Alfred J Kennedy,590,15.5,37.5%,25
1155,Junior High School 194 William Carr,"1,247",16.4,59.7%,25
1156,Ps/Middle School 200 Magnet School-Global Studi,520,12.6,72.1%,25
1157,Ps 201 Discovery School For Inquiry And Research (The),474,11.2,71.9%,25
1158,Ps 209 Clearview Gardens,584,14.9,40.6%,25
1159,Ps 214 Cadwallader Colden,537,14.1,79.1%,25
1160,Ps 219 Paul Klapper,640,9.4,74.1%,25
1161,Queens College School For Math Science & Technology (The),496,17.7,49.6%,25
1162,Townsend Harris High School,"1,144",20.4,55.2%,25
1163,Ps 130,396,13.6,47.5%,25
1164,Ps 242 Leonard P Stavisky Early Childhood School,394,11.9,64.5%,25
1165,Queens Academy High School,302,15.8,66.2%,25
1166,Flushing International High School,435,15.5,92.6%,25
1167,Queens School Of Inquiry (The),580,12.3,60.2%,25
1168,World Journalism Preparatory: A College Board School,568,14.9,56.9%,25
1169,East-West School Of International Studies,655,11.4,86.4%,25
1170,Bell Academy,374,13.8,48.4%,25
1171,North Queens Community High School,192,17.4,71.9%,25
1172,Active Learning Elementary School (The),460,15.3,79.1%,25
1173,Veritas Academy,552,15.3,75.4%,25
1174,Queens High School For Language Studies,428,15.2,86.2%,25
1175,Bayside High School,"3,038",18.8,74%,26
1176,Benjamin N Cardozo High School,"3,712",22.5,66.9%,26
1177,Francis Lewis High School,"4,541",19.5,73.1%,26
1178,Martin Van Buren High School,"1,175",15.7,77.2%,26
1179,Ps 18 Winchester,620,14.7,58.9%,26
1180,Ps 26 Rufus King,705,15.3,68.4%,26
1181,Ps 31 Bayside,549,14.0,56.5%,26
1182,Ps 41 Crocheron,488,13.9,39.3%,26
1183,Ps 46 Alley Pond,555,9.5,51.2%,26
1184,Junior High School 67 Louis Pasteur,894,17.5,40.6%,26
1185,Junior High School 74 Nathaniel Hawthorne,"1,157",17.5,48.5%,26
1186,Ps 94 David D Porter,326,13.0,49.7%,26
1187,Ps 98 Douglaston School (The),289,13.1,22.1%,26
1188,James J Ambrose School (The),756,16.7,43.4%,26
1189,Ps 133,555,13.8,61.1%,26
1190,Middle School 158 Marie Curie,"1,058",17.9,56.5%,26
1191,Ps 159,680,14.7,51.2%,26
1192,Ps 162 John Golden,676,16.4,63.8%,26
1193,Irwin Altman Middle School 172,983,16.6,62.3%,26
1194,Ps 173 Fresh Meadows,949,16.3,58%,26
1195,Ps/Is 178 Holliswood,563,16.0,37.1%,26
1196,Ps 186 Castlewood,384,5.9,34.6%,26
1197,Ps 188 Kingsbury,731,17.4,25.9%,26
1198,Ps 191 Mayflower,399,15.9,62.7%,26
1199,Ps 203 Oakland Gardens,936,16.1,44.9%,26
1200,Ps 205 Alexander Graham Bell,327,14.8,27.8%,26
1201,Ps 213 Carl Ullman School (The),466,16.0,55.2%,26
1202,Junior High School 216 George J Ryan,"1,458",18.4,68.3%,26
1203,Ps 221 North Hills School (The),626,16.0,39.9%,26
1204,Queens High School Of Teaching Liberal Arts And Sciences,"1,067",17.7,54.7%,26
1205,Ps/Is 266,644,13.1,53.9%,26
1206,Business Technology Early College High School,424,13.8,77.6%,26
1207,Ps 376,98,9.8,52%,26
1208,Ps 51,250,15.0,79.6%,27
1209,August Martin High School,328,13.1,86.3%,27
1210,Middle School 53 Brian Piccolo,271,11.2,80.4%,27
1211,Junior High School 226 Virgil I Grisson,911,18.2,90.7%,27
1212,John Adams High School,"2,270",14.0,79.9%,27
1213,Ps/Middle School 42 R Vernam,663,10.8,96.1%,27
1214,Ps 45 Clarence Witherspoon,324,11.9,90.7%,27
1215,Ps 47 Chris Galas,218,9.0,35.3%,27
1216,Ps 60 Woodhaven,"1,175",15.6,87.7%,27
1217,Ps 62 Chester Park School,942,15.6,70.6%,27
1218,Ps 63 Old South,"1,223",15.1,86.4%,27
1219,Ps 64 Joseph P Addabbo,616,15.0,75%,27
1220,Ps 66 Jacqueline Kennedy-Onassis,496,12.3,87.1%,27
1221,Ps 90 Horace Mann,852,15.4,90.6%,27
1222,Ps 96,307,16.1,84.7%,27
1223,Ps 97 Forest Park,721,14.4,87.7%,27
1224,Ps 100 Glen Morris,954,15.3,62.4%,27
1225,Ps 104 Bays Water (The),685,13.1,80.1%,27
1226,Ps 105 Bay School (The),803,13.8,87.9%,27
1227,Lighthouse Elementary School,216,9.0,93.1%,27
1228,Ps 108 Capt Vincent G Fowler,"1,469",15.9,85%,27
1229,Ps/Middle School 114 Belle Harbor,669,13.1,24.5%,27
1230,Ps 123,683,14.2,85.5%,27
1231,Ps 124 Osmond A Church,"1,225",16.3,63%,27
1232,Ps 43,894,14.4,91.1%,27
1233,Ps 65 Raymond York Elementary School (The),457,13.0,71.1%,27
1234,Ps 146 Howard Beach,681,14.8,47%,27
1235,Ps 155,519,15.2,92.1%,27
1236,Ps 183 Dr Richard R Green,526,11.1,93.3%,27
1237,Ps 197 Ocean School (The),495,10.9,96%,27
1238,Junior High School 202 Robert H Goddard,"1,099",17.0,80.6%,27
1239,Ps 207 Rockwood Park,683,10.3,34.7%,27
1240,Junior High School 210 Elizabeth Blackwell,"1,881",15.9,85%,27
1241,Ps 223 Lyndon B Johnson,559,13.9,93.4%,27
1242,Ps 232 Lindenwood,967,15.1,61.7%,27
1243,Richmond Hill High School,"1,670",12.8,79.6%,27
1244,Ps 56 Harry Eichler,384,14.7,81.8%,27
1245,Middle School 137 America's School Of Heroes,"1,888",16.1,88.3%,27
1246,Ps 253,568,13.8,96.8%,27
1247,Ps 254 Rosa Parks School (The),647,14.7,81.3%,27
1248,Frederick Douglass Academy VI High School,336,17.8,78.3%,27
1249,Channel View School For Research,886,14.0,73%,27
1250,Scholars' Academy,"1,375",18.8,47.9%,27
1251,Goldie Maple Academy,432,17.2,79.2%,27
1252,Knowledge And Power Preparatory Academy VI,265,16.5,84.9%,27
1253,"""high School-Construction Trades Engineering & Architectur","1,026",17.3,60.5%,27
1254,"""queens High School For Information Research And Technology",436,15.5,73.4%,27
1255,New York City Academy For Discovery,419,13.0,83.8%,27
1256,Robert H Goddard High School-Community/Technical,620,16.3,75.2%,27
1257,Academy Of Medical Technology - A College Board School,645,13.4,79.4%,27
1258,Village Academy,357,12.7,83.2%,27
1259,Waterside Children's Studio School,500,11.8,72.8%,27
1260,Waterside School For Leadership,228,11.4,90.4%,27
1261,Rockaway Park High School For Environmental Sustainability,310,14.0,89%,27
1262,Ps 273,340,12.5,92.9%,27
1263,Rockaway Collegiate High School,322,12.8,79.5%,27
1264,Wave Preparatory Elementary School,557,14.2,89.2%,27
1265,Hawtree Creek Middle School,365,12.5,91.8%,27
1266,Voyages Prep-South Queens,291,15.3,74.6%,27
1267,Queens Explorers Elementary School,378,12.1,75.4%,27
1268,Epic High School - North,386,16.7,74.1%,27
1269,Epic High School-South,335,14.5,69%,27
1270,Ps 377,135,9.0,68.1%,27
1271,Queens Gateway To Health Sciences Secondary School,690,18.6,62.6%,28
1272,Forest Hills High School,"3,784",18.9,73.4%,28
1273,Hillcrest High School,"3,352",20.0,82.3%,28
1274,Ps 40 Samuel Huntington,465,12.2,93.1%,28
1275,Ps 48 William Wordsworth,603,15.6,90.5%,28
1276,Ps 50 Talfourd Lawn Elementary School,802,15.1,94.9%,28
1277,Ps 54 Hillside,565,14.1,79.5%,28
1278,Ps 55 Maure,514,13.5,83.3%,28
1279,Catherine & Count Basie Middle School 72,378,11.1,81.7%,28
1280,Ps 80 Thurgood Marshall Magnet School Of Multimedia,519,13.2,76.3%,28
1281,Ps 82 Hammond,651,13.5,79.9%,28
1282,Ps 86,950,14.6,78.1%,28
1283,Ps 99 Kew Gardens,794,14.7,66.5%,28
1284,Ps 101 School In The Gardens,654,16.7,18.7%,28
1285,Ps 117 J Keld/Briarwood School,"1,015",15.1,58%,28
1286,Ps 121,935,15.5,82.2%,28
1287,Ps 139 Rego Park,748,15.2,62.8%,28
1288,Ps 140 Edward K Ellington,477,14.0,91.2%,28
1289,Ps 144 Col Jeromus Remsen,893,16.8,21.7%,28
1290,Junior High School 157 Stephen A Halsey,"1,632",17.0,54.4%,28
1291,Ps 160 Walter Francis Bishop,654,13.3,85.5%,28
1292,Ps 174 William Sidney Mount,669,15.1,37.5%,28
1293,Ps 175 Lynn Gross Discovery School (The),809,18.8,60.3%,28
1294,Junior High School 190 Russell Sage,"1,054",19.5,42.9%,28
1295,Ps 196 Grand Central Parkway,996,17.1,24.5%,28
1296,Ps 206 Horace Harding School (The),612,14.5,78.1%,28
1297,Junior High School 217 Robert A Van Wyck,"1,628",18.0,70.3%,28
1298,Ps 220 Edward Mandel,709,15.0,74.5%,28
1299,Thomas A Edison Career And Technical Education High School,"2,138",19.4,80.9%,28
1300,Junior High School 8 Richard S Grossley,341,11.3,90%,28
1301,Ps 182 Samantha Smith,759,14.3,96.7%,28
1302,Ps 161 Arthur Ashe School,702,14.3,84.3%,28
1303,Queens High School For The Sciences At York College,474,19.1,63.3%,28
1304,High School For Law Enforcement And Public Safety,503,14.7,73.4%,28
1305,Young Women's Leadership School-Queens,566,16.6,79%,28
1306,York Early College Academy,641,20.6,73.2%,28
1307,Queens Collegiate - A College Board School,670,14.0,87.6%,28
1308,Academy For Excellence Through The Arts (The),205,14.6,24.4%,28
1309,Hillside Arts & Letters Academy,471,18.1,80.9%,28
1310,Queens Satellite High School For Opportunity,188,15.6,89.4%,28
1311,Metropolitan Expeditionary Learning School,841,12.7,71.5%,28
1312,Queens Metropolitan High School,"1,088",16.7,60.3%,28
1313,High School For Community Leadership,465,14.9,81.7%,28
1314,Jamaica Gateway To The Sciences,510,18.1,74.5%,28
1315,Jermaine L Green Stem Institute In Queens (The),619,15.8,76.9%,28
1316,Emerson School (The),362,12.0,85.9%,28
1317,Jamaica Children's School,152,10.8,91.4%,28
1318,Redwood Middle School,313,12.0,69.3%,28
1319,Middle School 358,383,15.3,88.3%,28
1320,Queens School For Leadership And Excellence (The),315,14.3,88.3%,28
1321,Math/Science Research/Technical Magnet,396,17.3,74.7%,29
1322,Humanities And Arts Magnet High School,456,19.8,84%,29
1323,Is 238 Susan B Anthony Academy,"1,392",15.1,90%,29
1324,Ps 15 Jackie Robinson,436,16.1,73.4%,29
1325,Ps 33 Edward M Funk,971,17.0,81.3%,29
1326,Ps 34 John Harvard,576,15.9,90.6%,29
1327,Ps 35 Nathaniel Woodhull,713,15.8,89.8%,29
1328,Ps 36 Saint Albans School,447,13.5,70.5%,29
1329,Cynthia Jenkins School,451,11.5,78.5%,29
1330,Ps 38 Rosedale,269,15.8,77.7%,29
1331,Ps 52,481,14.1,73%,29
1332,Is 59 Springfield Gardens,590,15.9,75.4%,29
1333,Ps 95 Eastwood,"1,494",16.2,74.4%,29
1334,Jean Nuzzi Intermediate School,"1,110",16.3,66.5%,29
1335,Ps/Is 116 William C Hughley,787,13.7,77.8%,29
1336,Ps 118 Lorraine Hansberry,450,12.8,72.9%,29
1337,Ps 131 Abigail Adams,812,17.6,91.3%,29
1338,Ps 132 Ralph Bunche,388,12.7,83%,29
1339,Ps 134 Hollis,380,12.2,84.2%,29
1340,Bellaire School (The),989,16.2,57.4%,29
1341,Ps 136 Roy Wilkins,615,13.3,79.5%,29
1342,Ps/Middle School 138 Sunrise,764,14.4,78.4%,29
1343,Ps/Middle School 147 Ronald McNair,579,13.4,73.2%,29
1344,Ps 156 Laurelton,268,13.3,73.9%,29
1345,Ps 176 Cambria Heights,714,16.9,76.3%,29
1346,Ps 181 Brookfield,331,10.0,72.5%,29
1347,Is 192 Linden (The),496,16.4,73.2%,29
1348,Ps 195 William Haberle,560,14.3,85%,29
1349,Ps 251,339,12.5,75.8%,29
1350,Ps/Is 208,706,14.1,46.9%,29
1351,Ps/Is 268,635,14.1,78.3%,29
1352,Gordon Parks School (The),756,17.5,67.6%,29
1353,Excelsior Preparatorty High School,477,18.3,70%,29
1354,George Washington Carver High School For The Sciences,462,16.1,72.9%,29
1355,Queens Preparatory Academy,404,14.4,79.7%,29
1356,Pathways College Preparatory School: A College Board School,582,15.3,74.7%,29
1357,Preparatory Academy For Writers: A College Board School,578,18.0,68.7%,29
1358,Ps/Is 295,499,13.1,76.6%,29
1359,Eagle Academy For Young Men III,526,15.4,73.2%,29
1360,Cambria Heights Academy,357,13.2,74.2%,29
1361,Collaborative Arts Middle School,303,13.1,78.2%,29
1362,Community Voices Middle School,304,14.4,71.1%,29
1363,Queens United Middle School,206,12.1,73.8%,29
1364,Institute For Health Professions At Cambria Heights,418,13.4,75.8%,29
1365,Benjamin Franklin High School-Finance-Info,397,14.1,84.1%,29
1366,Ps 360,176,14.6,59.7%,29
1367,Newcomers High School,887,15.0,90.2%,30
1368,Long Island City High School,"2,257",16.4,79.9%,30
1369,Ps 2 Alfred Zimberg,565,14.4,73.1%,30
1370,Is 10 Horace Greeley,740,14.7,76.6%,30
1371,Ps 11 Kathryn Phelan,"1,024",14.0,68.1%,30
1372,Ps 17 Henry David Thoreau,551,12.2,72.6%,30
1373,Ps 69 Jackson Heights,"1,039",17.9,61.6%,30
1374,Ps 70,878,14.6,82.6%,30
1375,Ps 76 William Hallet,456,7.9,77.2%,30
1376,Ps 84 Steinway,271,11.7,56.8%,30
1377,Ps 85 Judge Charles Vallone,658,17.3,42.4%,30
1378,Ps 92 Harry T Stewart Senior,920,12.9,82.1%,30
1379,Ps 111 Jacob Blackwell,312,10.3,94.9%,30
1380,Ps 112 Dutch Kills,484,13.4,81.4%,30
1381,Ps 122 Mamie Fay,"1,360",18.8,53.1%,30
1382,Albert Shanker School For Visual And Performing Arts,659,14.9,86.8%,30
1383,Ps 127 Aerospace Science Magnet School,"1,295",15.0,85.3%,30
1384,Is 141 Steinway (The),"1,111",16.8,61%,30
1385,Is 145 Joseph Pulitzer,"1,696",15.1,94.6%,30
1386,Ps 148,915,15.2,78.9%,30
1387,Academy For New Americans,97,7.4,95.9%,30
1388,Ps 149 Christa McAuliffe,"1,056",14.2,76.8%,30
1389,Ps 151 Mary D Carter,383,11.9,93.2%,30
1390,Ps 152 Gwendoline N Alleyne School,"1,106",15.1,75.3%,30
1391,Academy Of American Studies,"1,016",20.6,68.5%,30
1392,Ps 166 Henry Gradstein,"1,076",16.3,68.8%,30
1393,Ps 171 Peter G Van Alst,498,12.4,92.4%,30
1394,Is 204 Oliver W Holmes,481,11.1,89.4%,30
1395,William Cullen Bryant High School,"2,378",17.1,84.9%,30
1396,Ps/Is 78,704,13.7,26.8%,30
1397,Is 227 Louis Armstrong,"1,583",16.6,73.7%,30
1398,Ps 212,780,14.4,58.6%,30
1399,Is 230,"1,291",16.5,82%,30
1400,Ivan Lafayette Early Childhood School Of The Arts (The),313,13.6,89.5%,30
1401,Frank Sinatra School Of The Arts High School,834,16.6,40.6%,30
1402,Ps 150,"1,090",16.0,53.8%,30
1403,Ps 222-Fire Fighter Christopher A Santora School,283,14.1,77%,30
1404,Information Technology High School,999,16.9,84.5%,30
1405,Ps 234,516,14.3,82.6%,30
1406,Baccalaureate School For Global Education,539,17.6,43.4%,30
1407,Young Womens Leadership School - Astoria,561,16.9,85.4%,30
1408,Academy For Careers In Television And Film,563,14.4,50.1%,30
1409,Ps 280,686,15.2,94.6%,30
1410,Hunters Point Community Middle School,421,12.0,52.5%,30
1411,East Elmhurst Community School,383,14.1,93.2%,30
1412,Energy Technical High School,512,15.0,76%,30
1413,30th Avenue School (The) (G & T Citywide),444,18.4,26.8%,30
1414,Woodside Community School (The),262,14.5,80.9%,30
1415,Concord High School,166,12.9,71.7%,31
1416,Michael J Petrides School (The),1313,15.2,47.1%,31
1417,Curtis High School,"2,590",18.2,75.4%,31
1418,Is 7 Elias Bernstein,"1,166",16.1,36.8%,31
1419,Is 34 Tottenville,"1,090",14.9,34.2%,31
1420,Is 61 William A Morris,982,13.2,82.5%,31
1421,Is 72 Rocco Laurie,"1,407",14.3,64.5%,31
1422,New Dorp High School,"3,046",16.8,60.1%,31
1423,Ps 1 Tottenville,465,11.3,38.5%,31
1424,Is 2 George L Egbert,973,15.4,71.1%,31
1425,Ps 3 Margaret Gioiosa School (The),793,14.9,29.8%,31
1426,Ps 4 Maurice Wollin,744,8.6,37.4%,31
1427,Ps 5 Huguenot,300,12.5,24.7%,31
1428,Is 51 Edwin Markham,"1,311",15.3,78.3%,31
1429,Ps 8 Shirlee Solomon,602,16.7,35%,31
1430,Ps 11 Thomas Dongan School,316,11.2,73.7%,31
1431,Ps 13 M L Lindemeyer,866,14.4,64.9%,31
1432,Ps 16 John J Driscoll,525,11.9,98.3%,31
1433,Ps 18 John G Whittier,568,10.9,90%,31
1434,Ps 19 Curtis School (The),594,12.9,84.5%,31
1435,Ps 20 Port Richmond,455,10.3,96%,31
1436,Ps 21 Margaret Emery-Elm Park,364,10.7,80.8%,31
1437,Ps 22 Graniteville,967,14.2,87.9%,31
1438,Ps 23 Richmondtown,562,13.3,37.2%,31
1439,Is 24 Myra S Barnes,"1,264",12.1,43.4%,31
1440,Ps 26 Carteret School (The),264,12.5,48.9%,31
1441,Is 27 Anning S Prall,"1,001",16.0,73%,31
1442,Ps 29 Bardwell,642,16.4,53%,31
1443,Ps 30 Westerleigh,827,14.2,35.6%,31
1444,Ps 31 William T Davis,392,10.8,90.6%,31
1445,Ps 32 Gifford School (The),675,14.9,32.9%,31
1446,Ps 35 Clove Valley School (The),393,17.8,38.9%,31
1447,Ps 36 J C Drumgoole,858,14.2,34.5%,31
1448,Ps 38 George Cromwell,375,12.0,69.9%,31
1449,Ps 39 Francis J Murphy Junior,540,14.5,67.8%,31
1450,Stephanie A Vierno School (The),678,13.2,67.7%,31
1451,Ps 42 Eltingville,"1,036",15.0,36.8%,31
1452,Ps 44 Thomas C Brown,867,11.2,94.6%,31
1453,Ps 45 John Tyler,862,14.8,72.3%,31
1454,Ps 46 Albert V Maniscalco,270,11.2,82.6%,31
1455,Ps 48 William G Wilcox,982,15.8,41.3%,31
1456,Is 49 Berta A Dreyfus,626,10.4,94.1%,31
1457,Ps 50 Frank Hankinson,773,15.4,40.2%,31
1458,Ps 52 John C Thompson,524,13.4,65.1%,31
1459,Barbara Esselborn School (The),830,15.9,38.8%,31
1460,Ps 54 Charles W Leng,808,13.6,59.9%,31
1461,Ps 55 Henry M Boehm,602,12.8,36.9%,31
1462,Ps 57 Hubert H Humphrey,714,13.4,86%,31
1463,Ps 60 Alice Austen,875,14.1,58.1%,31
1464,Ps 69 Daniel D Tompkins,936,9.2,57.5%,31
1465,Port Richmond High School,"1,541",16.3,74%,31
1466,Ralph R McKee Career And Technical Education High School,795,14.0,67.5%,31
1467,Susan E Wagner High School,"3,281",20.0,55.9%,31
1468,Tottenville High School,"3,803",19.1,35.9%,31
1469,Ps 56 Louis Desario School (The),604,12.5,36.8%,31
1470,Staten Island Technical High School,"1,320",21.9,42%,31
1471,Is 75 Frank D Paulo,"1,368",12.6,38.5%,31
1472,Ps 6 Corporal Allan F Kivlehan School,541,12.5,39.2%,31
1473,Space Shuttle Columbia School,692,12.7,52.5%,31
1474,Csi High School For International Studies,492,18.2,48.6%,31
1475,Marsh Avenue School For Expeditionary Learning,459,13.5,38.6%,31
1476,Gaynor McCown Expeditionary Learning School,439,12.5,45.6%,31
1477,Ps 65 Academy Of Innovative Learning (The),428,13.8,60.3%,31
1478,Staten Island School Of Civic Leadership,897,14.4,78.7%,31
1479,Ps 74 Future Leaders Elementary School,312,10.7,91.3%,31
1480,Ps 78,845,12.9,96%,31
1481,Naples Street Elementary School,298,11.9,40.9%,31
1482,Harbor View School (The),265,12.6,61.9%,31
1483,Fort Hill Collaborative Elementary School,167,9.8,89.2%,31
1484,Eagle Academy For Young Men Of Staten Island (The),253,11.0,84.6%,31
1485,Kathleen Grimm School For Leadership,215,11.3,27.4%,31
1486,Port Richmond School For Visionary Learning,153,13.9,79.1%,31
1487,Ebc High School For Public Service-Bushwick,488,12.4,89.3%,32
1488,Ps 376,518,15.6,87.1%,32
1489,Junior High School 383 Philippa Schuyler,869,15.3,83.4%,32
1490,Ps/Is 45 Horace E Greene,685,14.2,82.2%,32
1491,Ps 75 Mayda Cortiella,363,11.0,90.9%,32
1492,Ps 86 Irvington (The),379,11.8,98.2%,32
1493,Ps 106 Edward Everett Hale,427,11.8,95.6%,32
1494,Ps 116 Elizabeth L Farrell,390,10.8,89.2%,32
1495,Ps 123 Suydam,620,11.9,96.5%,32
1496,Ps 145 Andrew Jackson,581,13.8,91%,32
1497,Ps 151 Lyndon B Johnson,305,11.2,94.4%,32
1498,Junior High School 162 Willoughby (The),364,10.7,89.8%,32
1499,Ps 274 Kosciusko,408,15.0,96.6%,32
1500,Junior High School 291 Roland Hayes,290,10.7,95.9%,32
1501,Ps 299 Thomas Warren Field School,270,12.2,96.3%,32
1502,Ps 377 Alejandrina B De Gautier,315,12.1,93.3%,32
1503,Ps/Is 384 Frances E Carter,510,14.1,87.6%,32
1504,Is 347 School Of Humanities,311,11.9,94.5%,32
1505,Is 349 Math Science And Technology,310,11.9,97.7%,32
1506,All City Leadership Secondary School,435,24.1,85.7%,32
1507,Academy Of Urban Planning And Engineering (The),202,10.6,98%,32
1508,Brooklyn School For Social Justice (The),354,10.4,85.3%,32
1509,Bushwick Leaders High School For Academic Excellence,280,10.3,97.1%,32
1510,Bushwick Community High School,202,20.1,86.6%,32
1511,Academy For Environmental Leadership,272,10.8,91.9%,32
1512,Brooklyn School For Math And Research (The),272,12.9,90.1%,32
1513,Evergreen Middle School For Urban Exploration,345,9.5,90.4%,32
